name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
3M India Ltd.,3MINDIA,523395,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,847.40,192.10,0.18,45547.00,0.70,195.90,49.80,146.10,129.70,535.90,475.70
ACC Ltd.,ACC,500410,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,3885.40,549.30,0.12,212.80,45563.00,517.70,131.50,387.90,45493.00,1202.70,64.00
AIA Engineering Ltd.,AIAENG,532683,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,912.70,382.10,0.30,45436.00,45389.00,412.50,88.40,323.10,34.30,1216.10,128.90
APL Apollo Tubes Ltd.,APLAPOLLO,533758,METALS & MINING,IRON & STEEL PRODUCTS,4305.40,325.00,0.07,41.30,45469.00,276.70,73.80,202.90,45358.00,767.50,45500.00
Au Small Finance Bank Ltd.,AUBANK,540611,BANKING AND FINANCE,BANKS,1026.70,647.70,0.26,0.00,1282.10,533.40,131.50,401.80,6.00,1606.20,24.00
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,532921,TRANSPORTATION,MARINE PORT & SERVICES,2982.40,3664.00,0.55,974.50,520.10,2474.90,759.00,1747.80,45299.00,6337.00,45380.00
Adani Energy Solutions Ltd.,ADANIENSOL,ASM,UTILITIES,ELECTRIC UTILITIES,2169.30,1504.60,0.41,432.10,640.80,369.90,84.90,275.90,45414.00,1315.10,45515.00
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755,RETAILING,DEPARTMENT STORES,2903.60,322.90,0.10,388.80,208.40,-228.60,-28.20,-179.20,-1.90,-491.70,-5.20
Aegis Logistics Ltd.,AEGISCHEM,500003,OIL & GAS,OIL MARKETING & DISTRIBUTION,1026.50,208.30,0.17,34.10,45469.00,192.00,42.00,127.00,45446.00,509.00,45426.00
Ajanta Pharma Ltd.,AJANTPHARM,532331,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,737.80,290.70,0.28,33.70,45353.00,275.90,80.60,195.30,45427.00,660.20,52.30
Alembic Pharmaceuticals Ltd.,APLLTD,533573,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1386.70,208.20,0.13,67.60,45488.00,135.10,-1.90,136.60,7.00,531.70,27.00
